Id,Order_Date,Discount,Subtotal,Total,payment,Purchase_Status,Delivery_Id,Services,P_Sevice,D_Forecast,D_Date,Status,Customer_Id,State,Region,Category,Subcategory,delivery_delay_days,delivery_lead_time,is_late,is_confirmed,freight_share,discount_abs,month,discount_bucket
1,2025-04-12 00:52:33,0.1048,3958.2,3586.28,Credito,Processando,D00001,Same-Day,42.9,2025-05-03 14:45:17,2025-05-03 14:45:17,A Caminho,C00001,AC,Norte,Eletrônicos,"Celulares, Tablets e Acessórios",0,21,0,0,0.011962256154009168,414.81936,2025-04,10–20%
2,2025-05-05 01:02:38,0.1141,1799.01,1636.64,PIX,Em Analise,D00002,Same-Day,42.9,2025-05-14 07:31:07,2025-05-17 07:31:07,Entregue,C00002,PB,Nordeste,Eletrônicos,"Celulares, Tablets e Acessórios",3,12,1,0,0.026212239710626646,205.26704099999998,2025-05,10–20%
3,2025-04-27 23:05:38,0.0686,2144.0,2019.82,Boleto,Cancelado,D00003,Standard,22.9,2025-05-10 15:29:43,2025-05-10 15:29:43,A Caminho,C00003,RR,Norte,Eletrônicos,"Celulares, Tablets e Acessórios",0,12,0,0,0.011337643948470656,147.0784,2025-04,5–10%
4,2025-04-10 02:42:52,0.0264,199.6,237.23,Debito,Processando,D00004,Same-Day,42.9,2025-05-07 16:01:14,2025-05-10 16:01:14,Entregue,C00004,RO,Norte,Eletrônicos,"Celulares, Tablets e Acessórios",3,30,1,0,0.18083716224760782,5.2694399999999995,2025-04,0–5%
5,2025-05-12 21:55:33,0.0697,161.7,193.33,Credito,Em Analise,D00005,Same-Day,42.9,2025-04-30 15:40:39,2025-05-04 15:40:39,Entregue,C00005,AC,Norte,Eletrônicos,"Celulares, Tablets e Acessórios",4,-9,1,0,0.2219003775927171,11.270489999999999,2025-05,5–10%
6,2025-05-11 20:17:17,0.0972,1798.0,1666.13,Credito,Cancelado,D00006,Same-Day,42.9,2025-04-22 13:34:38,2025-04-23 13:34:38,Entregue,C00006,PB,Nordeste,Eletrônicos,"Celulares, Tablets e Acessórios",1,-19,1,0,0.025748290949685795,174.76559999999998,2025-05,5–10%
7,2025-03-18 05:42:47,0.0913,5397.03,4947.18,Boleto,Em Analise,D00007,Same-Day,42.9,2025-04-26 02:07:24,2025-04-29 02:07:24,Entregue,C00007,RO,Norte,Eletrônicos,"Celulares, Tablets e Acessórios",3,41,1,0,0.008671606854814258,492.74883900000003,2025-03,5–10%
9,2025-05-04 04:29:08,0.0097,449.0,467.54,PIX,Em Analise,D00009,Standard,22.9,2025-04-19 11:03:14,2025-04-22 11:03:14,Trânsito,C00009,ES,Sudeste,Eletrônicos,Áudio e Vídeo,3,-12,1,0,0.048979766437096284,4.3553,2025-05,0–5%
10,2025-04-16 20:57:08,0.1448,9149.97,7867.95,PIX,Cancelado,D00010,Same-Day,42.9,2025-05-11 06:11:00,2025-05-14 06:11:00,A Caminho,C00010,RS,Sul,Eletrônicos,Áudio e Vídeo,3,27,1,0,0.005452500333632013,1324.9156560000001,2025-04,10–20%
11,2025-04-16 02:03:43,0.0228,4316.0,4260.5,Debito,Em Analise,D00011,Same-Day,42.9,2025-04-14 07:35:31,2025-04-18 07:35:31,Atrasado,C00011,PB,Nordeste,Eletrônicos,Áudio e Vídeo,4,2,1,0,0.010069240699448421,98.40480000000001,2025-04,0–5%
12,2025-03-25 09:52:22,0.0442,1539.8,1504.73,Credito,Confirmado,D00012,Scheduled,32.99,2025-04-25 00:24:52,2025-04-29 00:24:52,Atrasado,C00012,AC,Norte,Eletrônicos,Áudio e Vídeo,4,34,1,1,0.021924199025738837,68.05916,2025-03,0–5%
14,2025-02-26 12:39:38,0.0615,4316.0,4093.47,Boleto,Processando,D00014,Same-Day,42.9,2025-05-11 16:28:28,2025-05-13 16:28:28,Trânsito,C00014,ES,Sudeste,Eletrônicos,Áudio e Vídeo,2,76,1,0,0.0104801061202354,265.43399999999997,2025-02,5–10%
15,2025-03-05 23:27:59,0.0272,259.72,295.56,Credito,Processando,D00015,Same-Day,42.9,2025-04-28 11:37:36,2025-05-01 11:37:36,Trânsito,C00015,PA,Norte,Eletrônicos,Áudio e Vídeo,3,56,1,0,0.14514819326025172,7.064384,2025-03,0–5%
16,2025-03-06 14:45:45,0.0701,103.6,119.24,Debito,Cancelado,D00016,Standard,22.9,2025-04-30 05:10:29,2025-05-05 05:10:29,Atrasado,C00016,RJ,Sudeste,Eletrônicos,Áudio e Vídeo,5,59,1,0,0.19204964776920497,7.262359999999999,2025-03,5–10%
17,2025-02-28 06:40:58,0.0853,3253.14,3008.64,Boleto,Confirmado,D00017,Scheduled,32.99,2025-05-05 01:49:22,2025-05-09 01:49:22,Trânsito,C00017,CE,Nordeste,Eletrônicos,Informática,4,69,1,1,0.010965087215486068,277.492842,2025-02,5–10%
18,2025-03-11 05:37:17,0.0679,107.8,143.38,Credito,Processando,D00018,Same-Day,42.9,2025-04-19 06:49:11,2025-04-23 06:49:11,Trânsito,C00018,PE,Nordeste,Eletrônicos,Informática,4,43,1,0,0.2992049100292928,7.3196200000000005,2025-03,5–10%
19,2025-05-08 04:47:07,0.1378,249.82,238.29,Credito,Cancelado,D00019,Standard,22.9,2025-05-07 11:50:38,2025-05-10 11:50:38,Trânsito,C00019,CE,Nordeste,Eletrônicos,Informática,3,2,1,0,0.09610138906374585,34.425196,2025-05,10–20%
20,2025-03-10 10:30:01,0.0427,149.7,186.21,Credito,Em Analise,D00020,Same-Day,42.9,2025-05-08 15:34:41,2025-05-13 15:34:41,Atrasado,C00020,SP,Sudeste,Eletrônicos,Informática,5,64,1,0,0.2303850491380699,6.392189999999999,2025-03,0–5%
21,2025-04-01 12:47:17,0.0992,3253.14,2973.33,PIX,Em Analise,D00021,Same-Day,42.9,2025-05-03 13:18:34,2025-05-03 13:18:34,Atrasado,C00021,PI,Nordeste,Eletrônicos,Informática,0,32,0,0,0.014428267296263784,322.711488,2025-04,5–10%
22,2025-03-12 14:29:34,0.0168,1072.0,1096.89,Credito,Em Analise,D00022,Same-Day,42.9,2025-04-28 16:07:18,2025-04-28 16:07:18,Entregue,C00022,PE,Nordeste,,,0,47,0,0,0.03911057626562371,18.0096,2025-03,0–5%
23,2025-02-25 05:46:45,0.0588,1898.0,1819.39,Credito,Em Analise,D00023,Scheduled,32.99,2025-04-22 20:48:35,2025-04-26 20:48:35,Entregue,C00023,PB,Nordeste,,,4,60,1,0,0.01813245098631959,111.6024,2025-02,5–10%
24,2025-04-20 21:15:27,0.1111,949.0,886.47,Debito,Cancelado,D00024,Same-Day,42.9,2025-04-29 07:29:22,2025-05-04 07:29:22,Atrasado,C00024,RS,Sul,,,5,13,1,0,0.04839419269687637,105.43390000000001,2025-04,10–20%
25,2025-03-25 13:17:21,0.0337,103.6,133.1,PIX,Confirmado,D00025,Scheduled,32.99,2025-04-17 15:51:23,2025-04-19 15:51:23,Atrasado,C00025,PI,Nordeste,,,2,25,1,1,0.24785875281743053,3.49132,2025-03,0–5%
26,2025-05-01 13:57:46,0.0885,6506.28,5963.46,Credito,Cancelado,D00026,Scheduled,32.99,2025-05-04 06:59:40,2025-05-05 06:59:40,Trânsito,C00026,BA,Nordeste,,,1,3,1,0,0.005532023355568748,575.8057799999999,2025-05,5–10%
27,2025-04-21 15:50:53,0.023,3049.99,3022.74,Credito,Processando,D00027,Same-Day,42.9,2025-05-02 16:46:46,2025-05-06 16:46:46,Atrasado,C00027,RS,Sul,,,4,15,1,0,0.014192421445443538,70.14976999999999,2025-04,0–5%
28,2025-04-22 23:40:44,0.0154,3216.0,3209.37,Boleto,Confirmado,D00028,Same-Day,42.9,2025-04-26 18:17:08,2025-04-30 18:17:08,Atrasado,C00028,PI,Nordeste,,,4,7,1,1,0.013367109432692398,49.5264,2025-04,0–5%
29,2025-02-19 04:48:16,0.0785,349.8,345.24,Debito,Processando,D00029,Standard,22.9,2025-04-22 12:23:13,2025-04-27 12:23:13,Entregue,C00029,RS,Sul,,,5,67,1,0,0.06633066852044954,27.459300000000002,2025-02,5–10%
30,2025-02-24 02:23:43,0.1013,1798.0,1658.76,PIX,Cancelado,D00030,Same-Day,42.9,2025-04-23 18:00:59,2025-04-24 18:00:59,Trânsito,C00030,PE,Nordeste,,,1,59,1,0,0.025862692613759675,182.1374,2025-02,10–20%
31,2025-04-13 11:48:49,0.017,1798.0,1810.33,Boleto,Cancelado,D00031,Same-Day,42.9,2025-04-18 11:34:53,2025-04-20 11:34:53,Trânsito,C00031,PE,Nordeste,,,2,6,1,0,0.02369733694961692,30.566000000000003,2025-04,0–5%
32,2025-03-06 00:42:28,0.1377,899.0,808.2,PIX,Em Analise,D00032,Scheduled,32.99,2025-05-07 22:52:17,2025-05-10 22:52:17,Trânsito,C00032,SC,Sul,,,3,65,1,0,0.04081910418213314,123.79229999999998,2025-03,10–20%
33,2025-04-06 06:58:45,0.0339,2309.7,2254.3,Credito,Confirmado,D00033,Standard,22.9,2025-05-12 17:09:59,2025-05-16 17:09:59,Trânsito,C00033,MG,Sudeste,,,4,40,1,1,0.010158364015437163,78.29883,2025-04,0–5%
35,2025-03-15 05:05:42,0.0304,53.7,94.97,Boleto,Processando,D00035,Same-Day,42.9,2025-05-12 17:04:07,2025-05-14 17:04:07,Atrasado,C00035,AP,Norte,,,2,60,1,0,0.4517215962935664,1.6324800000000002,2025-03,0–5%
36,2025-03-18 12:37:25,0.0254,215.6,243.11,PIX,Confirmado,D00036,Scheduled,32.99,2025-05-09 16:05:35,2025-05-09 16:05:35,Trânsito,C00036,SC,Sul,,,0,52,0,1,0.13569988893916335,5.47624,2025-03,0–5%
37,2025-03-16 04:22:08,0.0136,53.9,96.07,PIX,Processando,D00037,Same-Day,42.9,2025-05-12 21:05:56,2025-05-13 21:05:56,A Caminho,C00037,RS,Sul,,,1,58,1,0,0.4465493910690122,0.7330399999999999,2025-03,0–5%
38,2025-04-19 14:47:47,0.1197,499.64,482.73,Debito,Confirmado,D00038,Same-Day,42.9,2025-04-17 17:16:43,2025-04-20 17:16:43,Atrasado,C00038,SC,Sul,,,3,1,1,1,0.08886955440929711,59.806908,2025-04,10–20%
39,2025-03-22 18:59:08,0.0743,5937.3,5519.06,Boleto,Confirmado,D00039,Standard,22.9,2025-04-29 04:43:18,2025-05-01 04:43:18,A Caminho,C00039,RR,Norte,,,2,39,1,1,0.004149257301062137,441.14139000000006,2025-03,5–10%
40,2025-03-03 03:31:44,0.0583,1798.0,1726.17,PIX,Processando,D00040,Scheduled,32.99,2025-05-12 18:08:14,2025-05-13 18:08:14,Trânsito,C00040,RJ,Sudeste,,,1,71,1,0,0.019111674979868726,104.82339999999999,2025-03,5–10%
41,2025-03-27 02:25:36,0.1426,174.9,182.95,Debito,Em Analise,D00041,Scheduled,32.99,2025-05-11 08:58:37,2025-05-11 08:58:37,A Caminho,C00041,SP,Sudeste,,,0,45,0,0,0.18032249248428533,24.94074,2025-03,10–20%
42,2025-03-27 23:28:39,0.0557,53.9,93.8,Credito,Confirmado,D00042,Same-Day,42.9,2025-05-06 22:51:51,2025-05-07 22:51:51,Entregue,C00042,PR,Sul,,,1,40,1,1,0.4573560767590618,3.00223,2025-03,5–10%
43,2025-05-03 13:48:20,0.025,1539.8,1534.3,Boleto,Em Analise,D00043,Scheduled,32.99,2025-04-25 21:55:20,2025-04-28 21:55:20,A Caminho,C00043,CE,Nordeste,,,3,-5,1,0,0.021501661995698366,38.495000000000005,2025-05,0–5%
44,2025-02-25 22:16:37,0.0411,899.0,904.95,PIX,Cancelado,D00044,Same-Day,42.9,2025-04-19 08:30:24,2025-04-22 08:30:24,A Caminho,C00044,MA,Nordeste,,,3,55,1,0,0.04740593402950439,36.948899999999995,2025-02,0–5%
45,2025-02-23 23:40:48,0.0358,124.91,143.34,Debito,Em Analise,D00045,Standard,22.9,2025-04-14 21:15:46,2025-04-18 21:15:46,Atrasado,C00045,BA,Nordeste,,,4,53,1,0,0.1597600111622715,4.471778,2025-02,0–5%
46,2025-03-22 02:32:04,0.0748,8226.39,7633.96,PIX,Confirmado,D00046,Standard,22.9,2025-04-14 12:05:50,2025-04-19 12:05:50,Atrasado,C00046,SP,Sudeste,,,5,28,1,1,0.002999753732008027,615.333972,2025-03,5–10%
48,2025-05-05 18:29:47,0.0774,1798.0,1691.82,Credito,Confirmado,D00048,Scheduled,32.99,2025-05-08 05:04:17,2025-05-11 05:04:17,Entregue,C00048,BA,Nordeste,,,3,5,1,1,0.019499710371079667,139.1652,2025-05,5–10%
49,2025-04-03 11:00:22,0.1004,428.99,418.91,PIX,Processando,D00049,Scheduled,32.99,2025-05-01 14:50:30,2025-05-04 14:50:30,A Caminho,C00049,AC,Norte,,,3,31,1,0,0.07875199923611277,43.070596,2025-04,10–20%
